params,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1,Std F1
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",0.9176517928999374,0.015294132835388581,0.9199803466025249,0.012053379066250345,0.9176517928999374,0.015294132835388581,0.9181807424039038,0.013703448473338351
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.9209782705892874,0.013981714657039485,0.9227242259545448,0.012606703555358777,0.9209782705892874,0.013981714657039485,0.9213631703459214,0.013144557594866539
"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 20}",0.9190713583117232,0.011495197179630223,0.9208469008205664,0.010332840922757151,0.9190713583117232,0.011495197179630223,0.9191617622214278,0.0107097628035702
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.9223844227845838,0.013918550515367265,0.9223546100195712,0.014883328793538044,0.9223844227845838,0.013918550515367265,0.9217082563219877,0.014222566682037217
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.9176652061164268,0.014001353620611385,0.9184831077071033,0.012813094761713722,0.9176652061164268,0.014001353620611385,0.9174602327167583,0.012939562832211352
"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 20}",0.9148148976124475,0.012509250722806037,0.9151492755176847,0.013406962626646195,0.9148148976124475,0.012509250722806037,0.9141115958877346,0.012622499730027067
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.9176517928999374,0.015294132835388581,0.9199803466025249,0.012053379066250345,0.9176517928999374,0.015294132835388581,0.9181807424039038,0.013703448473338351
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.9209782705892874,0.013981714657039485,0.9227242259545448,0.012606703555358777,0.9209782705892874,0.013981714657039485,0.9213631703459214,0.013144557594866539
"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 20}",0.9190713583117232,0.011495197179630223,0.9208469008205664,0.010332840922757151,0.9190713583117232,0.011495197179630223,0.9191617622214278,0.0107097628035702
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_split': 2}",0.9176517928999374,0.015294132835388581,0.9199803466025249,0.012053379066250345,0.9176517928999374,0.015294132835388581,0.9181807424039038,0.013703448473338351
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_split': 10}",0.9209782705892874,0.013981714657039485,0.9227242259545448,0.012606703555358777,0.9209782705892874,0.013981714657039485,0.9213631703459214,0.013144557594866539
"{'criterion': 'gini', 'max_depth': 30, 'min_samples_split': 20}",0.9190713583117232,0.011495197179630223,0.9208469008205664,0.010332840922757151,0.9190713583117232,0.011495197179630223,0.9191617622214278,0.0107097628035702
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",0.9299852454618616,0.01677126657918484,0.9305948767637491,0.015398677769045513,0.9299852454618616,0.01677126657918484,0.9296365671072027,0.016011444224195422
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.9332916033264776,0.020915293747102725,0.9343504376643649,0.020590339333042048,0.9332916033264776,0.020915293747102725,0.9330155485076027,0.02098012774306061
"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 20}",0.9342327640168111,0.016232539678178955,0.9350833472658451,0.015833432516730497,0.9342327640168111,0.016232539678178955,0.9340122630052481,0.01613070853874427
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.9295046052043281,0.019714427526136395,0.9306206817619946,0.018690014922398114,0.9295046052043281,0.019714427526136395,0.9294999826701329,0.01927703110047965
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.9304480014307431,0.020568139104339408,0.9316060216889535,0.020108947807161843,0.9304480014307431,0.020568139104339408,0.9302777628776016,0.020285325331883812
"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 20}",0.931386926584995,0.0190423110397717,0.9315566105124944,0.0192135319158226,0.931386926584995,0.0190423110397717,0.9308493725311481,0.019082378318669855
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}",0.9299852454618616,0.01677126657918484,0.9305948767637491,0.015398677769045513,0.9299852454618616,0.01677126657918484,0.9296365671072027,0.016011444224195422
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10}",0.9332916033264776,0.020915293747102725,0.9343504376643649,0.020590339333042048,0.9332916033264776,0.020915293747102725,0.9330155485076027,0.02098012774306061
"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 20}",0.9342327640168111,0.016232539678178955,0.9350833472658451,0.015833432516730497,0.9342327640168111,0.016232539678178955,0.9340122630052481,0.01613070853874427
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_split': 2}",0.9299852454618616,0.01677126657918484,0.9305948767637491,0.015398677769045513,0.9299852454618616,0.01677126657918484,0.9296365671072027,0.016011444224195422
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_split': 10}",0.9332916033264776,0.020915293747102725,0.9343504376643649,0.020590339333042048,0.9332916033264776,0.020915293747102725,0.9330155485076027,0.02098012774306061
"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_split': 20}",0.9342327640168111,0.016232539678178955,0.9350833472658451,0.015833432516730497,0.9342327640168111,0.016232539678178955,0.9340122630052481,0.01613070853874427
